Value,year,month
-0.14,1888,12
-0.04,1889,1
0.07,1889,2
0.23,1889,3
0.72,1889,4
0.82,1889,5
0.86,1889,6
0.03,1889,7
-0.54,1889,8
-0.63,1889,9
-0.23,1889,10
0.25,1889,11
0.42,1889,12
0.05,1890,1
-0.08,1890,2
-0.04,1890,3
0.29,1890,4
0.28,1890,5
-0.06,1890,6
-0.34,1890,7
-0.57,1890,8
-0.04,1890,9
0.07,1890,10
0.4,1890,11
0.4,1890,12
0.47,1891,1
0.2,1891,2
0.14,1891,3
0.31,1891,4
0.68,1891,5
0.74,1891,6
0.67,1891,7
0.41,1891,8
0.38,1891,9
0.34,1891,10
0.29,1891,11
0.42,1891,12
-0.14,1892,1
-0.23,1892,2
0.09,1892,3
-0.05,1892,4
-0.4,1892,5
-0.72,1892,6
-0.83,1892,7
-1.2,1892,8
-1.83,1892,9
-2.09,1892,10
-1.38,1892,11
-0.65,1892,12
-0.23,1893,1
-0.26,1893,2
-0.38,1893,3
-0.44,1893,4
-1.46,1893,5
-1.61,1893,6
-1.73,1893,7
-1.35,1893,8
-1.24,1893,9
-1.35,1893,10
-1.14,1893,11
-0.95,1893,12
-0.92,1894,1
-1.28,1894,2
-1.81,1894,3
-1.98,1894,4
-2.18,1894,5
-2.08,1894,6
-1.71,1894,7
-1.78,1894,8
-2.07,1894,9
-2.56,1894,10
-1.21,1894,11
-0.77,1894,12
-0.43,1895,1
-0.18,1895,2
-0.22,1895,3
0.06,1895,4
0.01,1895,5
-0.1,1895,6
-0.04,1895,7
-0.16,1895,8
-0.42,1895,9
-0.44,1895,10
-0.24,1895,11
-0.04,1895,12
0.67,1896,1
0.82,1896,2
0.7,1896,3
-0.12,1896,4
-0.52,1896,5
-0.3,1896,6
0.02,1896,7
0.36,1896,8
1.6,1896,9
1.37,1896,10
1.13,1896,11
1.11,1896,12
0.93,1897,1
0.29,1897,2
-0.1,1897,3
-0.02,1897,4
0.26,1897,5
0.79,1897,6
0.59,1897,7
0.73,1897,8
0.33,1897,9
0.48,1897,10
-0.2,1897,11
0.03,1897,12
0.42,1898,1
0.05,1898,2
0.14,1898,3
-0.16,1898,4
-0.55,1898,5
-0.52,1898,6
-0.4,1898,7
0.25,1898,8
0.1,1898,9
-0.03,1898,10
-0.3,1898,11
-0.24,1898,12
-0.35,1899,1
-0.95,1899,2
-0.9,1899,3
-0.64,1899,4
-0.75,1899,5
-0.99,1899,6
-1.25,1899,7
-0.38,1899,8
-0.17,1899,9
-0.7,1899,10
0.49,1899,11
1,1899,12
1.3,1900,1
1.12,1900,2
1.71,1900,3
2.37,1900,4
1.53,1900,5
1.27,1900,6
1.06,1900,7
1.04,1900,8
0.2,1900,9
-0.15,1900,10
0.31,1900,11
0.68,1900,12
0.96,1901,1
0.42,1901,2
0.22,1901,3
-0.21,1901,4
-0.82,1901,5
-0.78,1901,6
-1.25,1901,7
-0.4,1901,8
0.21,1901,9
0.49,1901,10
0.52,1901,11
1.11,1901,12
1.09,1902,1
0.62,1902,2
0.52,1902,3
0.83,1902,4
1,1902,5
1.86,1902,6
2.27,1902,7
1.43,1902,8
0.28,1902,9
0.86,1902,10
0.72,1902,11
0.22,1902,12
0.21,1903,1
-0.01,1903,2
-0.11,1903,3
-0.84,1903,4
0.01,1903,5
-0.17,1903,6
1.16,1903,7
1.19,1903,8
0.96,1903,9
0.67,1903,10
1.12,1903,11
1,1903,12
0.62,1904,1
1.61,1904,2
1.1,1904,3
-0.33,1904,4
-0.02,1904,5
-0.54,1904,6
-0.55,1904,7
0.81,1904,8
1.45,1904,9
1.4,1904,10
1.31,1904,11
1.11,1904,12
0.84,1905,1
1.52,1905,2
1.91,1905,3
2.12,1905,4
1.29,1905,5
1.78,1905,6
1.62,1905,7
2.33,1905,8
1.51,1905,9
0.68,1905,10
1.55,1905,11
-0.05,1905,12
0.94,1906,1
1.41,1906,2
0.5,1906,3
0.37,1906,4
1.33,1906,5
2.26,1906,6
2.13,1906,7
0.74,1906,8
-0.03,1906,9
0.31,1906,10
1.05,1906,11
-0.35,1906,12
-0.19,1907,1
-0.19,1907,2
-0.5,1907,3
-0.81,1907,4
0.22,1907,5
1.24,1907,6
1.27,1907,7
-0.06,1907,8
0.6,1907,9
1.52,1907,10
1.51,1907,11
1.75,1907,12
1.64,1908,1
1.3,1908,2
1.19,1908,3
0.35,1908,4
0.37,1908,5
0.1,1908,6
0.33,1908,7
-1.27,1908,8
0.06,1908,9
0.3,1908,10
1.39,1908,11
1.26,1908,12
0.87,1909,1
0.81,1909,2
0.88,1909,3
0.16,1909,4
-0.17,1909,5
-0.89,1909,6
-2.05,1909,7
-2.18,1909,8
-1.11,1909,9
0.48,1909,10
0.04,1909,11
-0.99,1909,12
-0.93,1910,1
-0.58,1910,2
-0.68,1910,3
-0.77,1910,4
-0.05,1910,5
0.09,1910,6
-0.08,1910,7
0.23,1910,8
0.43,1910,9
-1.28,1910,10
-0.53,1910,11
-0.04,1910,12
-0.51,1911,1
-0.81,1911,2
-0.36,1911,3
-0.04,1911,4
-0.41,1911,5
-0.23,1911,6
0.28,1911,7
0.87,1911,8
-0.59,1911,9
-0.71,1911,10
-0.48,1911,11
-0.6,1911,12
-0.43,1912,1
-0.32,1912,2
-0.57,1912,3
-0.4,1912,4
0.2,1912,5
0.41,1912,6
-0.19,1912,7
0.32,1912,8
0.8,1912,9
0.5,1912,10
0.46,1912,11
0.22,1912,12
-0.3,1913,1
0.1,1913,2
-0.27,1913,3
-1.08,1913,4
-0.17,1913,5
0.35,1913,6
0.86,1913,7
1.41,1913,8
0.72,1913,9
0.3,1913,10
0.76,1913,11
0.54,1913,12
0.04,1914,1
0.15,1914,2
0.31,1914,3
1.09,1914,4
0.21,1914,5
-0.67,1914,6
-0.78,1914,7
-0.89,1914,8
-0.85,1914,9
-0.41,1914,10
-0.15,1914,11
0.22,1914,12
-0.18,1915,1
-0.29,1915,2
0.43,1915,3
1.15,1915,4
1.49,1915,5
1.72,1915,6
1.22,1915,7
0.64,1915,8
-0.18,1915,9
-1.02,1915,10
-0.85,1915,11
-0.36,1915,12
-1.22,1916,1
-1.27,1916,2
-1.07,1916,3
-0.51,1916,4
-0.24,1916,5
-1.12,1916,6
-1.39,1916,7
-1.82,1916,8
-2.03,1916,9
-1.61,1916,10
-2,1916,11
-2.15,1916,12
-1.66,1917,1
-1.51,1917,2
-1.79,1917,3
-1.68,1917,4
-1.06,1917,5
-0.6,1917,6
-0.71,1917,7
-0.91,1917,8
-1.22,1917,9
-1.45,1917,10
-0.55,1917,11
-0.37,1917,12
0.44,1918,1
-0.04,1918,2
-0.7,1918,3
-1.13,1918,4
-1.11,1918,5
-0.01,1918,6
0.29,1918,7
0.45,1918,8
0.58,1918,9
1.37,1918,10
1.57,1918,11
0.71,1918,12
0.79,1919,1
0.36,1919,2
-0.13,1919,3
-0.38,1919,4
-0.68,1919,5
-0.91,1919,6
-1.49,1919,7
-0.81,1919,8
-0.04,1919,9
0.04,1919,10
-0.47,1919,11
-0.21,1919,12
-0.54,1920,1
-0.68,1920,2
-1.19,1920,3
-1.23,1920,4
-1.17,1920,5
-1.09,1920,6
-1.3,1920,7
-2.1,1920,8
-2.18,1920,9
-1.28,1920,10
-1,1920,11
-0.71,1920,12
-0.94,1921,1
-1.38,1921,2
-0.99,1921,3
-1.49,1921,4
-1.35,1921,5
-0.45,1921,6
-1.32,1921,7
-1.63,1921,8
-1.63,1921,9
-1.25,1921,10
-0.13,1921,11
0.28,1921,12
0.03,1922,1
-0.86,1922,2
-1.07,1922,3
-1.17,1922,4
-1.28,1922,5
-0.68,1922,6
-0.12,1922,7
-0.63,1922,8
-0.43,1922,9
-0.39,1922,10
-0.82,1922,11
